Mobile,Route,Stop,Start,End,Day,Date,Frequency,Timetable
Annette,J,Cullivoe,9:00,9:55,Monday,23 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,J,West Yell,10:00,10:55,Monday,23 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,J,Herra,11:00,11:55,Monday,23 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,J,Camb,14:00,14:55,Monday,23 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,J,Sellafirth,15:00,15:55,Monday,23 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,K,Muckle Roe,9:00,11:00,Tuesday,24 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,K,Mossbank,13:00,14:00,Tuesday,24 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,K,Voe,15:00,17:00,Tuesday,24 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,L,North Roe,9:00,11:00,Monday,30 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,L,Ollaberry,14:00,15:00,Monday,30 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,L,Sullom,15:30,17:00,Monday,30 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,M,Mid Yell,9:00,11:00,Tuesday,31 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,M,East Yell,14:00,15:30,Tuesday,31 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
Annette,M,Burravoe,16:00,17:00,Tuesday,31 Oct 2017,3,http://www.shetland-library.gov.uk/ElizabethsSchedule.asp
