Mobile,Route,Community,Stopping Place,From,To,Day,Date,Frequency
C,8,Coleorton,Bus Shelter Aqueduct Road,13.00,13.20,Thursday,12-Oct-17,Monthly
C,8,Newbold Coleorton,School,14.00,14.40,Thursday,12-Oct-17,Monthly
C,8,Newbold Coleorton,Vicarage Close,14.45,15.10,Thursday,12-Oct-17,Monthly
C,8,Newbold Coleorton,Cloud Hill View,15.15,15.25,Thursday,12-Oct-17,Monthly
C,9,Appleby Magna,Hillside,9.30,10.10,Monday,16-Oct-17,Monthly
C,9,Appleby Magna,Parkfield,10.15,10.55,Monday,16-Oct-17,Monthly
C,9,Appleby Magna,Wren Close,11.00,11.25,Monday,16-Oct-17,Monthly
C,9,Snarestone,Quarry Lane,11.35,12.15,Monday,16-Oct-17,Monthly
C,9,Snarestone,Quarry Farm,13.00,13.15,Monday,16-Oct-17,Monthly
C,9,Heather,Sparkenhoe Estate,13.30,14.10,Monday,16-Oct-17,Monthly
C,9,Donington le Heath,Tweentown,14.25,14.35,Monday,16-Oct-17,Monthly
C,10,Bardon,Bardon Close,9.05,9.25,Tuesday,17-Oct-17,Monthly
C,10,Groby,Lena Drive,9.45,10.15,Tuesday,17-Oct-17,Monthly
C,10,Stanton under Bardon,Village Hall,10.30,11.10,Tuesday,17-Oct-17,Monthly
C,10,Stanton under Bardon,School,11.15,12.00,Tuesday,17-Oct-17,Monthly
C,10,Stanton under Bardon,Everards Close,12.05,12.30,Tuesday,17-Oct-17,Monthly
C,10,Newbold Heath,16 Merry Lees Road,12.40,12.50,Tuesday,17-Oct-17,Monthly
C,10,Merry Lees,Merry Lees Road,13.35,13.55,Tuesday,17-Oct-17,Monthly
C,10,Thornton,Highfields,14.00,14.20,Tuesday,17-Oct-17,Monthly
C,10,Thornton,Community Centre,14.25,15.30,Tuesday,17-Oct-17,Monthly
C,11,Whitwick,Howe Court,9.30,10.00,Wednesday,18-Oct-17,Monthly
C,11,Thringstone,Playgroup/Community Centre,10.05,10.35,Wednesday,18-Oct-17,Monthly
C,11,Thringstone,Glebe Road/Priory Close,10.40,11.10,Wednesday,18-Oct-17,Monthly
C,11,Thringstone,Thringstone Bowling Club,11.15,12.00,Wednesday,18-Oct-17,Monthly
C,11,Shepshed,Lacy Court,12.45,13.25,Wednesday,18-Oct-17,Monthly
C,11,Thringstone,St Andrews Close,13.45,14.05,Wednesday,18-Oct-17,Monthly
C,11,Thringstone,Dalkeith Road/Melrose Road,14.10,14.40,Wednesday,18-Oct-17,Monthly
C,12,Belton,Rempstone Road,9.30,9.45,Thursday,19-Oct-17,Monthly
C,12,Long Whatton,Oakley Drive,9.55,10.20,Thursday,19-Oct-17,Monthly
C,12,Long Whatton,Piper Drive,10.25,10.55,Thursday,19-Oct-17,Monthly
C,12,Long Whatton,Main Street/Layby,11.05,11.55,Thursday,19-Oct-17,Monthly
C,12,Diseworth,The Bowley,12.05,12.35,Thursday,19-Oct-17,Monthly
C,12,Diseworth,Clemensgate,12.40,13.30,Thursday,19-Oct-17,Monthly
C,12,Belton Village,Village Hall,14.10,14.50,Thursday,19-Oct-17,Monthly
C,12,Worthington,Post Office,15.05,15.40,Thursday,19-Oct-17,Monthly
C,12,Worthington,Sparrow Cottage,15.45,16.10,Thursday,19-Oct-17,Monthly
C,13,Norton Juxta Twycross,Wood Lane opp Worthington Farm,9.30,9.35,Monday,23-Oct-17,Monthly
C,13,Norton Juxta Twycross,Opp 11 Main Street,9.40,10.00,Monday,23-Oct-17,Monthly
C,13,Ratcliffe Culey,The Gate Inn,10.25,11.15,Monday,23-Oct-17,Monthly
C,13,Sheepy Magna,Layby,11.25,12.10,Monday,23-Oct-17,Monthly
C,13,Sheepy Magna,9 Riverside Close,12.15,12.30,Monday,23-Oct-17,Monthly
C,13,Sheepy Magna,4 Mill Lane,12.35,12.55,Monday,23-Oct-17,Monthly
C,13,Sheepy Magna,School,13.40,14.40,Monday,23-Oct-17,Monthly
C,13,Twycross,6 Hallfields,15.00,15.15,Monday,23-Oct-17,Monthly
C,13,Orton on Hill,Opp 47 Main Street,15.30,15.50,Monday,23-Oct-17,Monthly
C,14,Hugglescote,2 Peggs Grange,9.15,9.40,Tuesday,24-Oct-17,Monthly
C,14,Coalville,Oakham Drive,10.00,10.20,Tuesday,24-Oct-17,Monthly
C,14,Coalville,St Davids Crescent,10.30,10.50,Tuesday,24-Oct-17,Monthly
C,14,Coalville,Abbots Oak Drive,10.55,11.25,Tuesday,24-Oct-17,Monthly
C,14,Coalville,Bradgate Drive,11.35,12.05,Tuesday,24-Oct-17,Monthly
C,14,Coalville,Linford Crescent,12.10,12.40,Tuesday,24-Oct-17,Monthly
C,14,Coalville,Romans Crescent,13.25,14.00,Tuesday,24-Oct-17,Monthly
C,15,Breedon on Hill,Brookside Caravans,9.40,10.00,Wednesday,25-Oct-17,Monthly
C,15,Breedon on Hill,Berrys Avenue,10.05,10.35,Wednesday,25-Oct-17,Monthly
C,15,Tonge,Peters Close,10.40,10.55,Wednesday,25-Oct-17,Monthly
C,15,Wilson,Bulls Head Main Street,11.05,11.15,Wednesday,25-Oct-17,Monthly
C,15,Wilson,Wilson Hall Farm,11.20,11.50,Wednesday,25-Oct-17,Monthly
C,15,Hemington,Jolly Sailor Inn,12.45,13.10,Wednesday,25-Oct-17,Monthly
C,15,Lockington,Village Hall,13.20,13.30,Wednesday,25-Oct-17,Monthly
C,15,Griffydam,School Playing Field,14.00,14.30,Wednesday,25-Oct-17,Monthly
C,16,Swannington,61 Main Street,9.30,10.00,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,Hall Lane,10.15,10.45,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,George Street,10.50,11.00,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,Bonchurch Road,11.05,11.25,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,St Bernards Road,12.10,12.40,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,Temple Hill,12.50,13.20,Tuesday,26-Oct-17,Monthly
C,16,Whitwick,Parsonwood Hill,13.25,13.55,Tuesday,26-Oct-17,Monthly
