Mobile,Route,Community,Stop,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
A,A1,Ab Kettleby,School,"School, Ab Kettleby",-0.916899,52.80335,2017-10-02,Monday,Monthly,10:00,10:45,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Wartnaby,Village Centre,"Village Centre, Wartnaby",-1.247349,52.418788,2017-10-02,Monday,Monthly,10:55,11:10,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Nether Broughton,Blacksmiths Close,"Blacksmiths Close, Nether Broughton",-1.247349,52.418788,2017-10-02,Monday,Monthly,11:20,11:40,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Holwell,Old Chapel,"Old Chapel, Holwell",-1.247349,52.418788,2017-10-02,Monday,Monthly,11:50,12:00,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Scalford,Village Centre,"Village Centre, Scalford",-1.247349,52.418788,2017-10-02,Monday,Monthly,12:45,13:05,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Long Clawson,The Sands,"The Sands, Long Clawson",-1.247349,52.418788,2017-10-02,Monday,Monthly,13:25,13:55,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Hose,Coal Lane,"Coal Lane, Hose",-0.903942,52.858454,2017-10-02,Monday,Monthly,14:05,14:25,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A1,Hose,School,"School, Hose",-1.247349,52.418788,2017-10-02,Monday,Monthly,14:30,15:30,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Melton,Springfield Street,"Springfield Street, Melton",-0.895085,52.772971,2017-10-04,Wednesday,Monthly,9:25,9:35,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby Hill,School,"School, Asfordby Hill",-1.247349,52.418788,2017-10-04,Wednesday,Monthly,9:45,10:30,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby,Burnaby Place,"Burnaby Place, Asfordby",-0.955918,52.764696,2017-10-04,Wednesday,Monthly,10:40,11:00,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby,Chadwell Close,"Chadwell Close, Asfordby",-0.959996,52.76279,2017-10-04,Wednesday,Monthly,11:05,11:25,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby,Bradgate Flats,"Bradgate Flats, Asfordby",-1.247349,52.418788,2017-10-04,Wednesday,Monthly,11:30,12:30,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby,Captains Close School,"Captains Close School, Asfordby",-1.247349,52.418788,2017-10-04,Wednesday,Monthly,13:40,14:40,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby,12 Saxelby Road,"12 Saxelby Road, Asfordby",-0.959322,52.775595,2017-10-04,Wednesday,Monthly,14:45,15:00,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A2,Asfordby Valley,Main Road,"Main Road, Asfordby Valley",-1.247349,52.418788,2017-10-04,Wednesday,Monthly,15:05,15:15,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
A,A3,Saxelby,Bus Stop,"Bus Stop, Saxelby",-1.247349,52.418788,2017-10-05,Thursday,Monthly,9:30,9:45,https://www.leicestershire.gov.uk/leisure-and-community/libraries/mobile-library-routes
