Mobile,Route,Community,Stop,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
Norfolk,DER240,Marham,VILLAGE HALL (MARHAM),"VILLAGE HALL (MARHAM), Marham",0.5256838236871774,52.658670961361196,2017-10-17,Tuesday,1,14:55,15:10,
Norfolk,DER240,Shouldham,THE GREEN,"THE GREEN, Shouldham",0.4782198105658126,52.65145479673645,2017-10-17,Tuesday,1,15:20,15:35,
Norfolk,DER240,Shouldham,WOODWARD CLOSE,"WOODWARD CLOSE, Shouldham",0.4783234703521864,52.653287015779554,2017-10-17,Tuesday,1,15:40,15:55,
Norfolk,DER240,Shouldham,HALLFIELDS,"HALLFIELDS, Shouldham",0.47890227315866823,52.65541502145497,2017-10-17,Tuesday,1,16:00,16:15,
Norfolk,DER240,Shouldham,RYES CLOSE,"RYES CLOSE, Shouldham",0.47280130802955367,52.6500214127934,2017-10-17,Tuesday,1,16:20,16:30,
Norfolk,DER243,Barton bendish,HATHERLEY GARDENS,"HATHERLEY GARDENS, Barton bendish",0.5287431460432451,52.62251997362671,2017-10-24,Tuesday,1,09:55,10:05,
Norfolk,DER243,Beachamwell,OLD POST OFFICE,"OLD POST OFFICE, Beachamwell",0.5839909201249223,52.618008930266114,2017-10-24,Tuesday,1,10:15,10:35,
Norfolk,DER243,Drymere,TELEPHONE KIOSK,"TELEPHONE KIOSK, Drymere",0.6320659030369482,52.62560957581095,2017-10-24,Tuesday,1,10:40,10:50,
Norfolk,DER243,Cockley cley,PINE AVENUE,"PINE AVENUE, Cockley cley",0.6436026147478757,52.60788921158707,2017-10-24,Tuesday,1,10:55,11:05,
Norfolk,DER243,Cockley cley,RIVERSIDE,"RIVERSIDE, Cockley cley",0.6469774732282659,52.60555668653351,2017-10-24,Tuesday,1,11:10,11:25,
Norfolk,DER243,Hillborough,THE SWAN PUBLIC HOUSE,"THE SWAN PUBLIC HOUSE, Hillborough",0.6968480046180334,52.57270516338549,2017-10-24,Tuesday,1,11:35,11:45,
Norfolk,DER243,Hillborough,WESTGATE STREET (No.12),"WESTGATE STREET (No.12), Hillborough",0.6828902986382935,52.57036962962576,2017-10-24,Tuesday,1,11:50,12:00,
Norfolk,DER243,Foulden,WHITE HART PUB CAR PARK,"WHITE HART PUB CAR PARK, Foulden",0.6097360357302197,52.56324693811625,2017-10-24,Tuesday,1,12:10,12:20,
Norfolk,DER243,Gooderstone,WALNUT PLACE,"WALNUT PLACE, Gooderstone",0.5993754133307249,52.58815916057872,2017-10-24,Tuesday,1,13:30,13:50,
Norfolk,DER243,Oxborough,ST JOHN'S CLOSE,"ST JOHN'S CLOSE, Oxborough",0.5719402469715756,52.58483784773764,2017-10-24,Tuesday,1,14:00,14:10,
Norfolk,DER243,Boughton,MILL ROAD,"MILL ROAD, Boughton",0.5052728240527051,52.58955892617522,2017-10-24,Tuesday,1,14:20,14:35,
Norfolk,DER243,Fincham,METHODIST CHURCH,"METHODIST CHURCH, Fincham",0.479221437540561,52.624997012044254,2017-10-24,Tuesday,1,14:45,14:55,
Norfolk,DER243,Fincham,VICARAGE LAY-BY,"VICARAGE LAY-BY, Fincham",0.4896631914799907,52.62880640099756,2017-10-24,Tuesday,1,15:00,15:15,
Norfolk,DER243,Fincham,CHURCHILL CRESCENT,"CHURCHILL CRESCENT, Fincham",0.4933726980333729,52.6316687810957,2017-10-24,Tuesday,1,15:20,15:35,
Norfolk,DER243,Shouldham thorpe,TELEPHONE BOX,"TELEPHONE BOX, Shouldham thorpe",0.4549778325172296,52.64302770610362,2017-10-24,Tuesday,1,15:40,16:00,
Norfolk,DER246,Clenchwarton,CORONATION ROAD,"CORONATION ROAD, Clenchwarton",0.3739230165753521,52.75587342140997,2017-11-07,Tuesday,1,09:40,09:55,
Norfolk,DER246,Clenchwarton,MARGARETTA CLOSE,"MARGARETTA CLOSE, Clenchwarton",0.36552770497585213,52.758208234756395,2017-11-07,Tuesday,1,10:00,10:15,
Norfolk,DER246,Clenchwarton,ROOKERY CLOSE,"ROOKERY CLOSE, Clenchwarton",0.35817959780676367,52.75525245444038,2017-11-07,Tuesday,1,10:20,10:35,
Norfolk,DER246,Clenchwarton,RECTORY DRIVE,"RECTORY DRIVE, Clenchwarton",0.3557494263859243,52.756083047169774,2017-11-07,Tuesday,1,10:40,10:50,
Norfolk,DER246,Clenchwarton,ST ANNES CRESCENT,"ST ANNES CRESCENT, Clenchwarton",0.3529185311067722,52.76212776084317,2017-11-07,Tuesday,1,10:55,11:10,
Norfolk,DER246,Clenchwarton,LINFORD ESTATE [1],"LINFORD ESTATE [1], Clenchwarton",0.35611307781351426,52.763916624520164,2017-11-07,Tuesday,1,11:15,11:30,
Norfolk,DER246,Clenchwarton,HALL ROAD TELEPHONE BOX,"HALL ROAD TELEPHONE BOX, Clenchwarton",0.35449050402520055,52.75912028934972,2017-11-07,Tuesday,1,11:35,11:50,
Norfolk,DER246,Clenchwarton,BLACK HORSE ROAD,"BLACK HORSE ROAD, Clenchwarton",0.351679181211358,52.757009072612476,2017-11-07,Tuesday,1,13:00,13:20,
Norfolk,DER246,Clenchwarton,WILDFIELDS CLOSE,"WILDFIELDS CLOSE, Clenchwarton",0.3487891505912599,52.75756090527384,2017-11-07,Tuesday,1,13:25,13:35,
Norfolk,DER246,Clenchwarton,36 STATION ROAD,"36 STATION ROAD, Clenchwarton",0.33638949778008875,52.75434408065968,2017-11-07,Tuesday,1,13:40,14:05,
Norfolk,DER246,Clenchwarton,POPPYFIELDS Nr No 23,"POPPYFIELDS Nr No 23, Clenchwarton",0.37949075297692947,52.74926074141557,2017-11-07,Tuesday,1,14:15,14:40,
Norfolk,DER246,West lynn,ST PETERS ROAD [1 ],"ST PETERS ROAD [1 ], West lynn",0.38501761415697006,52.75006684863213,2017-11-07,Tuesday,1,14:45,15:10,
Norfolk,DER246,West lynn,ST PETERS CLOSE/CEDAR WAY,"ST PETERS CLOSE/CEDAR WAY, West lynn",0.38477423864304044,52.75212187675117,2017-11-07,Tuesday,1,15:15,15:30,
Norfolk,DER246,West lynn,ST PETERS ROAD/HARROW CLOSE,"ST PETERS ROAD/HARROW CLOSE, West lynn",0.3865238914042464,52.75620491737829,2017-11-07,Tuesday,1,15:35,15:45,
Norfolk,DER246,West lynn,19 FERRY ROAD,"19 FERRY ROAD, West lynn",0.38424963379685984,52.757167837053416,2017-11-07,Tuesday,1,15:50,16:15,
Norfolk,DER247,West winch,FREEBRIDGE HAVEN,"FREEBRIDGE HAVEN, West winch",0.41903222135517254,52.71967746935952,2017-10-31,Tuesday,1,09:40,10:10,
Norfolk,DER247,North runcton,THE GREEN,"THE GREEN, North runcton",0.43469782164679494,52.71486071826721,2017-10-31,Tuesday,1,10:15,10:35,
