Stop,Community,Postcode,Start,End,Timetable,Date,Day,Frequency,Timetable
Little Owls (Childcare),Wedmore,BS28 4SA,14:15,14:30,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Honeycombe House,Bagley,BS28 4TD,14:40,15:00,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Westham Farm,Westham,BS28 4UR,15:15,15:30,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Appley Pavilion Playgroup,Stawley,TA21 0HH,10:00,10:20,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Blackwell Farm,Raddington,TA4 2QN,10:45,11.00,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Roborough,Upton,TA4 2JD,11:15,11:30,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Glebe Farm,Tolland,TA4 3PR,11:50,12:05,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Old Post Office,Lydeard St Lawrence,TA4 3SB,12:15,12:30,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Lydeard St Lawrence School,Lydeard St Lawrence,TA4 3SF,13:10,13:40,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Cotford St Luke School,Cotford St Luke,TA4 1JD,13:55,14:25,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Hillfarance Church,Hillfarance,TA4 1AW,14:35,14:5,F,17/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030



0
