Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
D,Exford School,Exford,"Exford School, Exford, TA24 7PP",285475,138412,2017-01-13,Friday,4,12:00,12:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
D,Exford Centre,Exford,"Exford Centre, Exford, TA24 7PU",285287,138322,2017-01-13,Friday,4,13:10,13:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
D,Blagdon View,Wheddon Cross,"Blagdon View, Wheddon Cross, TA24 7ED",291494,139458,2017-01-13,Friday,4,13:40,14:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Nine Barrows Corner,Priddy,"Nine Barrows Corner, Priddy, BA5 3BH",352758,151577,2016-01-16,Monday,4,10:00,10:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Priddy School Playgroup,Priddy,"Priddy School Playgroup, Priddy, BA5 3BE",352698,151261,2016-01-16,Monday,4,10:35,10:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,West Horrington School,West Horrington,"West Horrington School, West Horrington, BA5 3EB",357547,147365,2016-01-16,Monday,4,11:15,12:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Central Car Park,Wedmore,"Central Car Park, Wedmore, BS28 4AN",343278,147890,2016-01-16,Monday,4,13:10,14:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Little Owls (Childcare),Wedmore,"Little Owls (Childcare), Wedmore, BS28 4SA",344274,147630,2016-01-16,Monday,4,14:15,14:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Honeycombe House,Bagley,"Honeycombe House, Bagley, BS28 4TD",346027,146067,2016-01-16,Monday,4,14:40,15:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
E,Westham Farm,Westham,"Westham Farm, Westham, BS28 4UR",341144,146609,2016-01-16,Monday,4,15:15,15:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Appley Pavilion Playgroup,Stawley,"Appley Pavilion Playgroup, Stawley, TA21 0HH",307100,121024,2017-01-17,Tuesday,4,10:00,10:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Blackwell Farm,Raddington,"Blackwell Farm, Raddington, TA4 2QN",300870,126437,2017-01-17,Tuesday,4,10:45,11:00,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Roborough,Upton,"Roborough, Upton, TA4 2JD",300936,131645,2017-01-17,Tuesday,4,11:15,11:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Glebe Farm,Tolland,"Glebe Farm, Tolland, TA4 3PR",310091,132126,2017-01-17,Tuesday,4,11:50,12:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Old Post Office,Lydeard St Lawrence,"Old Post Office, Lydeard St Lawrence, TA4 3SB",312818,132401,2017-01-17,Tuesday,4,12:15,12:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
F,Lydeard St Lawrence School,Lydeard St Lawrence,"Lydeard St Lawrence School, Lydeard St Lawrence, TA4 3SF",312839,132221,2017-01-17,Tuesday,4,13:10,13:40,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
